詞目id,義項id,詞性,解說
,,名詞,放有神像或神符的轎子。
,,形容詞,不含雜質的。
,,形容詞,溫和。
,,形容詞,質樸無偽的。
,,名詞,輕軟細薄的絲織品。
,,名詞,用綿、麻紡成的細絲。
,,名詞,日常用品之一。主要原料為植物纖維，可作為書畫、印刷、包裹等用途。
,,名詞,等級次第。
,,量詞,計算事物分級的單位。
,,形容詞,樸實無華，沒有複雜的裝飾。
,,名詞,不是屬於肉類、葷菜類的食物。
,,形容詞,本質、原本的，不加裝飾。
,,時間詞,平常、夙昔。
,,名詞,事物的基本成分。
,,動詞,將絲、麻、棉的纖維或羊毛、牛毛等材質抽成線紗。
,,動詞,由紡紗的動作引申為轉動的意思。
,,動詞,引申為處理，通常用在負面情境，表示事情難以處理。
,,名詞,繩子。
,,動詞,指容器從邊緣處破裂。
,,量詞,計算容器邊緣破裂缺口的單位。
,,形容詞,過錯、不完美的地方。
,,動詞,短少、不足。
,,名詞,指懸空尚未遞補的職務。
,,名詞,漁網。
,,動詞,撈。用漁網在水中撈魚蝦。
,,動詞,撈。用工具在水中撈東西。
,,動詞,留養小孩。舊時指寡婦改嫁，其子女由原本夫家的公婆、親戚留養，而沒有跟著到新的夫家去。
,,名詞,丈夫。女人稱與自己有婚姻關係的男子。
,,名詞,一種用來整平地面土塊的舊式農具，亦可用於推送地上物使聚攏或散開，由一條橫木上附平排尖齒，加上長柄構成。
,,動詞,使用耙子將土翻平，或將東西聚攏、散開。
,,名詞,一種用來使地面土塊平整或地上物聚攏、散開的舊式農具，由一條橫木上附平排尖齒，加上長柄構成。
,,動詞,腫起。多因發炎關係。
,,名詞,指身體前面脖子以下，肚子以上的部分。
,,名詞,引申作人的內心。
,,名詞,薄絲絹布。
,,名詞,繩子。用兩股以上纖維物所擰成的長條狀物，可供捆綁。
,,名詞,魚網。一種捕魚的網子。
,,名詞,耙子。耙草用的小鋤頭。
,,名詞,汗衫、竹紗衫。紗布材質的汗衫。
,,名詞,腋下、腋窩。人體胸腔上部外側與臂膀內側之間的部位，外形呈小三角錐狀。
,,名詞,胸膛、胸部。人體軀幹正面上部，內有心臟、肺臟等器官。
,,名詞,胸骨。陸生脊椎動物胸腔前面，正中央的一根劍狀扁平骨，連接和支持肩帶上的鎖骨與肋骨，並與胸椎和肋骨構成胸腔。
,,名詞,紡紗機。由輪軸帶動、轉動的紡紗器具。
,,名詞,器物破缺的地方。
,,名詞,用稻草等做成的馬糞厚紙板，一般而言，「紙坯」較「紙枋」薄。
,,名詞,厚紙板。
,,名詞,不含雜質的金子，即二十四Ｋ金。
,,名詞,夫妻、夫婦、伉儷。
,,名詞,用來扒穀的工具。
,,名詞,紙、布等沒有花紋、圖樣。
,,名詞,素餐。指不含葷腥食物的餐點。
,,動詞,吃素。不食用葷腥的食物。
,,名詞,紙糊的模型屋，一種用來陪葬的假物，有家具、奴婢，汽車等，是在死後七七四十九天做尾日時焚燒給死者，供死者在另一個世界使用。
,,名詞,用紙做扇面的扇子，上面可以加以彩繪、題詩詞，也可以素面。
,,動詞,把絲、棉、麻各種材質的纖維抽出來製成紗線。
,,名詞,口紅、脣膏。塗抹在嘴脣上，以修飾脣形和使脣色更鮮潤的化妝用品。
,,名詞,鎖骨。位於胸腔上部、頸下兩旁與肩胛相聯的骨骼，左右各一。
,,名詞,用來留言、備忘的便條紙。
,,名詞,紙幣、紙鈔。
,,名詞,紙袋。紙製的袋子。
,,名詞,兔脣。一種先天性的臉部畸形。指上嘴脣縱裂或缺損，多有顎裂，以男性居多。可用整形手術來矯正。
,,名詞,丈夫。稱謂。妻子對他人稱自己的丈夫。
,,副詞,純粹、單純地。
,,名詞,紙製的娛樂用品，可以當作賭具，如撲克牌、四色牌等。
,,名詞,蚊窗。窗框上面裱糊細網目的織品或鋪釘尼龍網、細鐵絲網的窗子，可以防止蚊蟲飛入，又方便空氣流通。
,,名詞,紙盒子。
,,名詞,本質。事物本身所固有的根本屬性或指人的本性。
,,名詞,紙袋。紙製的袋子。
,,名詞,紙燈籠。
,,名詞,統稱祭祀時焚燒給鬼神的冥紙。祭拜神明的貼有金箔為「金紙」(kim-tsuá)；祭拜祖先或鬼魂的貼有銀箔為「銀紙」(gîn-tsuá)。
,,名詞,短處、缺陷。不完美的地方。
,,名詞,功效、能力、才幹。
,,名詞,嗉囊、嗉道。禽鳥類跟昆蟲類消化器的一部分。上接食道，下連砂囊，呈囊狀，為食物暫停的地方。
,,名詞,泛指哺乳動物身上的頸部食道。
,,形容詞,質地不堅固、容易折斷。
,,名詞,分布在人與動物全身，使血液流通而循環不窮的血管。
,,名詞,指像血脈一樣，有條理分支的事物。
,,名詞,脈搏。
,,形容詞,形容味道難聞。
,,動詞,用杓子撈取液體。
,,動詞,舔。用舌頭表面舔取東西。
,,形容詞,幼、嫩、未成熟的。
,,形容詞,年輕的。
,,形容詞,稚嫩。經驗少的、資歷淺的。
,,形容詞,形容人神智不清的狀態。
,,形容詞,廣大而模糊不明，通常以連字詞的形式出現。
,,名詞,木本植物。葉子外型呈長橢圓形，葉緣有鋸齒。花期大約在每年的秋、冬兩季。嫩葉可焙製成各種茶，種子可榨油供食用，屬於重要經濟作物之一。
,,名詞,泛指各種經過沖泡、調配的飲料、食品。
,,名詞,泛稱所有的草本植物。
,,,名詞後綴。表示「狀況、程度」的意思。
,,形容詞,馬虎、粗率、不細膩。
,,形容詞,初步、尚未決定的。
,,名詞,書法的一種。
,,名詞,蓪草及其製品。
,,名詞,品德惡劣，令人討厭的人。
,,名詞,稻草人。
,,名詞,樟腦丸。用樟腦製成的小球。方便攜帶，可以殺蟲、避臭氣。
,,名詞,種植茶的山地。
,,動詞,用瓢子或杓子汲取液體。
,,名詞,茶葉。茶的嫩葉，用火烘烤乾之後，可加熱水沖泡飲用。可依製造方法中的發酵程度、烘焙程度等加以區分，也可依照氣候季節來區分，如春茶、冬茶等。
,,名詞,用茶葉泡的茶。主要是為了和「麥仔茶」(be̍h-á-tê)做區分。
,,名詞,茶渣。已泡過的茶葉殘渣。
,,動詞,燒焦。
,,形容詞,燒焦。
,,名詞,燒焦。
,,名詞,草本類的通稱。
,,名詞,茶油。油茶或紅花油茶種子榨取的油。可供食用，亦可作工業用。
,,形容詞,咬舌兒。說話時舌尖接觸牙齒，造成發音不清楚，形成童稚的聲音。
,,名詞,根莖類。菰的嫩莖，因受黑穗菌寄生而肥大成筍狀，可供食用，也叫「茭白」。
,,名詞,鄉下。
,,名詞,鄉下人、村夫。指住在鄉下的人。
,,形容詞,老相、老態。形容一個人的外表看起來比實際年齡老。
,,名詞,茶葉。
,,形容詞,汗臭。因為流汗而產生的汗酸味。
,,名詞,耳漏、耳膿。病名。慢性中耳炎，耳朵會流出有臭味的膿液，嚴重時會造成重聽。
,,形容詞,耳聾。指人因聽覺障礙而失去聽力。
,,名詞,由肛門排出的臭氣。
,,形容詞,形容人喜歡誇大炫耀，自以為是的樣子。
,,名詞,狂妄、自以為是的人。
,,形容詞,有尿臭味的。
,,名詞,一種食品。用豆腐醃製，再以石灰封藏於缸內。因發酵後會有臭味，所以稱為「臭豆腐」。其獨特的風味，加上油炸或蒸滷，而成為很受喜愛的小吃。
,,名詞,茶館、茶室。有的也兼營色情。
,,名詞,裝茶水的杯子。
,,名詞,煤油、燈油。從石油提煉出來，可以用來照明的油。
,,名詞,由茶籽榨出的油。
,,名詞,積久發臭難以清潔的油汙。
,,動詞,駕駛飛機、飛船等飛行器在空中飛行。
,,名詞,郵寄信件、物品的一種方式。
,,動詞,指舊式的農業社會中，舀取排泄物做為肥料的行為。
,,,臭青公、臭青母、隆脊蛇。爬蟲類動物。體型粗大，為棕色或褐色，無毒。幼蛇呈淺棕色，有黑色或深棕色的小斑點散雜其間，和成蛇體色差異大。棲息於雜木林或農墾地，性情活潑，好攻擊。在遇危急或被捕捉時，會於肛門處發出惡臭。
,,名詞,脆柿子。將摘取下來的柿子經過脫澀處理後的柿子，口感香脆甜美，營養價值高。
,,名詞,番茄。植物名。一年生草本植物，果實呈扁圓形或小球形。成熟時為紅色，味道甜而略酸。
,,名詞,將茯苓磨成粉而做成的糕餅。
,,名詞,臭臉。難看、不悅的臉色。
,,動詞,腐臭。
,,名詞,草屋、茅屋。
,,名詞,草坪、草場。長滿青草的平地。
,,名詞,草繩。
,,名詞,簍。一種用來裝米的農具。
,,名詞,軟木塞。原本是用草稈做成的塞子，現在大多是用軟木做成塞子。
,,名詞,賣茶葉的大商行。
,,名詞,魚名。一種可食用的淡水魚，身體近似圓筒形，青黃色，有側腺，吃水草維生。
,,名詞,病名，口角炎。多因缺乏維他命Ｂ群而引起。患者的口角和脣紅部位發生潰爛和乾裂。張嘴時有刺痛的感覺。
,,動詞,發霉。東西因為受潮而長出黑色的菌絲體。
,,形容詞,霉味。東西有發霉的味道。
,,形容詞,燒焦。
,,形容詞,破產。
,,名詞,螳螂。昆蟲名。全身綠色或土黃色，身體長，腹部肥大，頭呈三角形，前肢有棘刺，呈鎌刀狀。因為捕食害蟲有益於農業，所以屬於益蟲。
,,名詞,稻草或蔗葉等捆成束，用以作為燃料。
,,名詞,蕈菇類。呈灰色，有黑褐色條紋，足長冠薄，多生長於草堆上，可以食用。
,,名詞,種植茶樹的園地、園子。
,,名詞,土味、土腥味。一種在蔬菜、淡水魚身上可聞到的土腥氣。
,,名詞,稱疏通流水、排洩汙水的溝道。
,,名詞,沉澱在容器邊緣或底部的茶垢。
,,形容詞,神氣、臭屁。常用於對他人的貶詞。
,,形容詞,植物特有的生腥味。
,,名詞,臭青公、隆脊蛇。爬蟲類動物。體型粗大，為棕色或褐色，無毒。幼蛇呈淺棕色，有黑色或深棕色的小斑點散雜其間，和成蛇體色差異大。棲息於雜木林或農墾地，性情活潑，好攻擊。在遇危急或被捕捉時，會於肛門處發出惡臭，所以稱為「臭腥公」。
,,名詞,茶樹的嫩葉，焙乾後可用來沖泡飲用，種類繁多。自清末以來就是臺灣的重要出口商品。
,,名詞,腳流汗又悶著所發出的臭味。
,,名詞,茶壺。
,,名詞,用壓榨茶油時所剩下來的渣滓，再把它壓製成堅硬的餅形，就叫「茶箍」。跟肥皂一樣有洗淨功能，但與肥皂其實是不同的。
,,名詞,用乾藺草編織而成的蓆子。
,,名詞,飛蝗、螞蚱的總稱。
,,名詞,蚱蜢、蝗蟲。昆蟲名。多為綠色或棕色，會大量啃噬農作物。多分布在熱帶和溫帶，尤其以溫帶草原最多。
,,形容詞,餿臭。食物因為變質、腐敗而發出酸臭味。
,,動詞,吹牛、胡扯。
,,名詞,草棚。用茅草搭蓋而成的棚子、工寮。
,,名詞,放置茶具的平盤。
,,名詞,水草、水藻。
,,名詞,草對蝦。甲殼類節肢動物。全身覆蓋土色及黑褐色條紋，尾扇為紅色，可食用。現多為人工養殖，是臺灣重要水產養殖對象之一。
,,形容詞,下賤。因為粗俗而卑賤不堪。
,,形容詞,形容花草植物因滋衍繁多而失去其珍貴的價值。
,,名詞,用草編製的鞋。
,,名詞,用甘草醃製的橄欖。
,,名詞,茶杯。
,,名詞,癩痢頭。也就是頭上生癬或疥瘡而導致部分毛髮脫落。
,,形容詞,狗血淋頭。形容被責備得很不堪。
,,名詞,專門供人喝茶的店。
,,名詞,指長癩痢頭無毛的禿雞。也比喻為被人批評、斥責而頹喪的人。
,,形容詞,腥臭。形容魚或肉類有葷腥的氣味。
,,名詞,嫩薑。
,,形容詞,形容刺鼻的尿臭味。
,,名詞,鐮刀。用來割草的刀子。
,,形容詞,腥味。
,,名詞,藥草。可供治病的草本植物。
,,名詞,正露丸。原名征露丸，是日本征伐露西亞(俄羅斯)時，發給士兵食用，來治療水土不服、肚子痛的強效藥丸，副作用很大。因為味道又怪又臭，因此得名。
,,名詞,牛筋草。草本植物。生命力特別強，只要有土的地方，都可以看到它的蹤跡。
,,名詞,茶樹。
,,名詞,茶壺。用來沖泡茶葉的容器，有陶、瓷、石或其他金屬罐。
,,形容詞,形容人的身體虛弱，沒有元氣。
,,形容詞,形容某事物的質地不夠紮實、堅固。
,,形容詞,荒蕪。
,,形容詞,指倒楣，運氣差。
,,形容詞,低賤、落魄、晦氣。
,,副詞,不。否定詞。
,,形容詞,倒楣。運氣不好，不順利。
,,副詞,不錯。
,,形容詞,東西用不壞或人不兇。
,,副詞,不可以。語氣完結時唸作bē-īng--tit。
,,形容詞,不能用。語氣完結時唸作bē īng--tit。
,,形容詞,合不來。
,,熟語,無法收拾。
,,形容詞,倒楣。
,,名詞,倒霉鬼、掃把星。指運氣差，諸事不順的人。
,,形容詞,身體虛弱。
,,形容詞,不要臉、不懂得羞恥。
,,副詞,不可以、使不得。
,,副詞,不可以、使不得。語氣完結時唸作bē-sái--tit。
,,形容詞,不合。不和睦、合不來。
,,形容詞,划不來、不划算。
,,名詞,水果名。呈球形或卵圓形，外皮有紋狀，果肉白色多汁，味道甘美。其極品有名「玉荷包」者，價格甚為昂貴。
,,動詞,小題大作，沒完沒了。
,,形容詞,收支無法平衡。
,,熟語,無法事先預料或打算。
,,動詞,來不及、趕不上。
,,熟語,茶飯不思、寢食難安。形容情緒或者精神不佳，吃不下飯，睡不著。
,,名詞,荒地。沒有開墾或已經荒蕪的土地。
,,動詞,忘記、遺忘。語氣完結時唸作bē-kì--tit。
,,副詞,因某種原因造成無法從事某種活動。
,,熟語,無以為生。沒有辦法維持生計。
,,熟語,過不去。
,,熟語,過意不去。
,,動詞,受不了、禁不起、無法承受。語氣完結時唸作bē-kham--tit。
,,副詞,不行、不能夠。
,,名詞,倒楣、霉運。運氣不好。
,,動詞,荒置、廢棄。
,,形容詞,倒楣。運氣不好，做事情不順利。
,,動詞,不會、不懂。
,,連詞,好比、好像。
,,熟語,好比說、好像說。
,,熟語,說不得，不能說。無法接受別人的規勸，或是事情有禁忌，不能說。語氣完結時唸作bē-kóng--tit。
,,熟語,沒話說，非常的，難以言喻的。語氣完結時唸作bē-kóng--tit。
,,熟語,通常指經過言詞勸說之後，仍無法改變對方的態度或想法。
,,形容詞,形容人懶惰成性，骯髒邋遢又不梳洗整理。
,,名詞,植物名。蔓生植物，葉子約小孩手掌大小。一般多用荖藤的葉子來包檳榔子，加石灰、甘草等供人嚼食。
,,動詞,索取。
,,動詞,催促、要求。
,,動詞,與人私通。
,,動詞,將事物印象留在腦海中。
,,動詞,將資料抄寫存錄下來。
,,名詞,哺乳動物。外型與老虎相近，但體型較小，皮毛為黃褐色，背部有黑色圓形斑點。生性凶猛，善於爬樹以捕食其他獸類。臺灣地區以「臺灣雲豹」為代表，但數量極為稀少，已列入瀕臨絕種之保護動物。
,,名詞,有價值的錢幣、貨物、房舍、田產的總稱。
,,形容詞,與金錢有關的。
,,動詞,建造、搭蓋。
,,動詞,上漲。
,,動詞,指使別人去進行某件事。
,,動詞,開始。
,,動詞,表示動作的趨向、進行或開始。
,,動詞,指某種行為動作的發作。
,,動詞,向上移動。
,,形容詞,超出標準。
,,動詞,用在動詞後，表示有或沒有能力。
,,動詞,通達、穿透。
,,動詞,形容沉迷某事物，不能自拔的狀態。
,,動詞,被某人某物所吸引、迷惑。
,,形容詞,慘了、糟了。用於表現有難以解決的事。
,,動詞,爆發情緒、起衝突。
,,動詞,跟在後面，或是從後方趕上去。
,,動詞,求。求愛、求理想。
,,動詞,背向後方行走。
,,動詞,離開。
,,動詞,減損、消失。
,,動詞,取消、解除。
,,動詞,陪伴某人走一段路。
,,動詞,贈送。
,,動詞,運輸、派發。
,,動詞,離開、躲避或是跑開。
,,副詞,違背、反其道而行。
,,形容詞,不順利。
,,動詞,忤逆、不順從。
,,動詞,雄性的動物發情。
,,名詞,資金、錢財的實力。
,,動詞,要求對先前所給的恩惠予以回報。
,,名詞,一種食品。把整條的豬肉捶打成肉泥，加入鹽、味精等調味料後做成丸狀。一般做湯料。
,,動詞,指罪犯為逃避罪責而流亡在外。
,,名詞,孽子、不肖子。忤逆不肖、不聽話的兒子。
,,動詞,跟隨喪家的行列，將靈柩送到山上的墓地安葬。
,,名詞,太極金、大百壽金。印有財子壽神像的金紙，常用於神明生日，為祭祀高等神明的金紙。
,,名詞,指人生所求的三件事：錢財、子女、長壽。
,,動詞,動手、著手。
,,副詞,一開頭的時候。
,,名詞,情緒、感覺。借自日語「気持ち（きもち）」。
,,形容詞,違背天理。
,,動詞,冒犯長輩。
,,熟語,不爽、不高興。「起毛」借自日語「気持ち（きもち）」。
,,動詞,傳統婚俗中，男女訂婚後，男方通知女方迎娶的時間。
,,熟語,情緒好、心情好。「起毛」是借自日語「気持ち（きもち）」的外來語素，加上表示「爽快」的「婸」。
,,動詞,生火。使柴、煤炭物品等燃燒起來。
,,動詞,降火氣，中醫上指消除病理上口乾舌燥等現象。
,,名詞,富翁。指有錢人。
,,動詞,在原定的數額之外再補加。
,,名詞,逃亡或躲避法律制裁的犯人。
,,動詞,討打。
,,動詞,自討苦吃。
,,動詞,指軍人服役的年限屆滿，離開部隊。
,,動詞,職工因為年老、服務年資屆滿、傷殘或失去工作能力而離職休養。
,,名詞,原因。事情發生的根本原因。
,,動詞,解除冰凍，恢復室溫。
,,熟語,那有這種道理。通常用來表示憤怒。
,,動詞,好轉。情況變好。
,,動詞,啟程、出發。
,,形容詞,褪色，顏色變淡。
,,名詞,私自逃離軍隊的兵士。
,,動詞,一覺醒來離開床鋪。
,,動詞,努力探求。
,,動詞,因愛慕而親近。
,,動詞,落後。從較優良的狀況變成較低劣的狀況。
,,動詞,發狂。精神失常，舉止狂烈。
,,動詞,追溯、查究事情的根由。
,,動詞,離開、跑走。
,,動詞,生事、惹事。
,,動詞,起床。
,,動詞,上來。由下往上、由低處往高處。
,,動詞,上來、北上。由中南部北上。
,,,接在動詞後做補語，表示判斷、脫除或附著。
,,動詞,索命。冤魂向加害者要求償命。
,,動詞,逃離危險環境以保全性命。
,,動詞,翻臉。
,,動詞,退婚、悔婚。退掉已經定下來的親事。
,,動詞,退回契約的定金。
,,動詞,下聘。男家擇定吉日，向女家致送訂婚聘禮。聘禮一般包括聘金、金飾、羊豬、禮燭、禮炮、禮餅、蓮蕉花盆等。
,,名詞,記憶力。
,,動詞,發脾氣。因事情不如意而生氣發怒。
,,名詞,錢財和物品的總稱。
,,名詞,傳播事業中負責採訪新聞與撰稿的外勤人員，有時也兼稱各式新聞從業人員，如：編輯人員、評論人員、攝影者、播報員等等。
,,動詞,公司的股東退出股分。
,,動詞,挖苦、譏諷。
,,動詞,不去分辨真假是非，一味的盲目信仰崇拜。
,,動詞,偷漢子。婦女與人通姦。
,,動詞,後退。向後移動。
,,名詞,政府有關錢財方面的事務。
,,動詞,覓食。找食物、要飯吃。
,,動詞,謀生、討生活。
,,動詞,颳風。
,,名詞,蕁麻疹，病名。一種常見的兒科疾病，特徵是皮膚上出現很多形狀不一的丘疹。丘疹出現後，會有明顯的搔癢，同時在出現四十八小時內大部分會消失，但舊疹子消失了，新的又繼續長出來。常因食物或藥物過敏而引起，可注射腎上腺素或給予抗組織胺藥物治療。也稱為「風疹塊」。
,,動詞,蓋房子。
,,動詞,興家立業、成家立業。
,,動詞,發跡、出身。
,,動詞,出海打魚。靠出海捕魚來維持生計。
,,名詞,漁夫、漁民。以捕魚為生的人。
,,名詞,民間傳中說掌管錢財的神。
,,動詞,祭灶神。一種民間習俗。舊俗農曆十二月廿三或廿四日，灶神會到天庭陳報人間善惡，民間則於此時藉祭祀送灶神上天。
,,名詞,民間傳說中掌管錢財的神，後用來戲稱掌管錢財或能給人錢財的人。
,,動詞,解酒。消解酒醉的狀態。
,,動詞,解除婚約。
,,名詞,錢財和土地、屋宅等的總稱。
,,動詞,挑釁、找碴。故意惹起爭端。
,,動詞,發瘋。
,,動詞,出發、啟程。
,,動詞,起乩。乩童被神靈附身，而後開始了跳舞、說話、傳達神明的旨意等行為。
,,動詞,附在乩童身上的神靈離去。
,,動詞,法律用語，指檢察官針對被告向法院提出訴訟。
,,動詞,工作賺錢來過生活。
,,動詞,發狠。橫了心，發個狠勁。
,,形容詞,浪費、蹧蹋。沒有節制、無益的耗費。
,,名詞,迷惑慌亂。由於社會規範弱化或衝突所產生行為誤導或偏差的現象。
,,名詞,敗家子、不肖子。拿祖先的財產隨意揮霍的不肖子孫。
,,名詞,伴娘、陪嫁。陪伴新娘行婚禮的女子。
,,名詞,錢財的來源。
,,動詞,拔碇。碇是指繫船的石墩或沉在水中的鐵錨。拔碇即開船準備出航之意。
,,動詞,上下。
,,,漲跌。
,,名詞,用做標記，可以清楚辨別的符號。
,,熟語,動手動腳。常指兩方因為爭執不下而爆發肢體衝突。
,,副詞,鑽透、穿過。
,,動詞,開鑼、上戲、揭開序幕，傳統戲劇要上演時會先由樂師打鼓準備上戲。
,,動詞,使人厭惡、不喜歡。
,,名詞,擁有或控制許多關係企業的大資本家或集團。
,,動詞,事後承認。
,,動詞,漲價。物價上揚。
,,名詞,討債。索還欠款。
,,動詞,記賬、賒賬。
,,動詞,記錄賬務之明細。
,,動詞,奚落。用尖酸刻薄的話譏笑嘲弄別人。
,,動詞,退燒。
,,副詞,至少。
,,動詞,兩個人以上一起對事物等探討、研究並且尋求結論。
,,動詞,學生因為嚴重違反校規或是不及格的科目達到一定比例，而被學校當局勒令不得繼續在校就讀。
,,名詞,心中對事、物所保有的印象。
,,動詞,要錢。索取錢財。
,,動詞,討債、要債。索還欠款。
,,副詞,起初、開頭。
,,動詞,消炎、消腫。
,,動詞,躲開害怕或不願意面對的事物。
,,動詞,以財物禮品餽贈他人。
,,動詞,起雞皮疙瘩。因寒冷、害怕或聽到刺耳的聲音，皮膚上泛起小米般的小疙瘩。
,,熟語,起藥布疹。指貼膏藥過後引發皮膚的發炎紅腫。
,,名詞,錢財珍寶。
,,動詞,納獻、進奉。將財物無條件拿出來給與他人。
,,動詞,將心力無條件地用在對公眾有幫助的地方。
,,動詞,戀慕某人或喜好某物到入迷而難以割捨。
,,動詞,以食物佐膳。
,,動詞,互相抵銷。此用法僅有第一優勢音phuè。
,,動詞,結合，搭配。此用法僅有第一優勢音phuè。
,,形容詞,陪襯的。此用法僅有第一優勢音phuè。
,,名詞,菜餚。
,,動詞,使調和。此用法僅有第一優勢音phuè。
,,形容詞,相稱的。此用法僅有第一優勢音phuè。
,,動詞,使動物交尾。此用法僅有第一優勢音phuè。
,,動詞,安裝。此用法僅有第一優勢音phuè。
,,動詞,分給。此用法僅有第一優勢音phuè。
,,名詞,用米、麥之類的穀物或水果等原料，經過發酵釀製而成，含有酒精的刺激性飲料。
,,動詞,將釘子或其他針狀物以工具敲打入某物中。
,,名詞,縫紉工具。
,,量詞,計算縫紉、縫合或注射的單位。
,,動詞,刺、以針扎入。
,,名詞,針狀物。
,,名詞,注射用的尖細金屬。
,,名詞,用來量體溫的器具。
,,名詞,金屬製，用來連接的器具。
,,動詞,躲避、避開。
,,動詞,扭傷腰背筋骨。
,,形容詞,光線明亮、迅速跳動的樣子。
,,名詞,具有特定用途的場所名稱。
,,名詞,官署、政府機關名稱。
,,名詞,表示某一段時間點。
,,量詞,計算事、物、動作的單位，大多只會冠上一的數量。
,,形容詞,間歇性的。
,,量詞,計算人群的單位。
,,名詞,伙。表示一個群體。
,,名詞,為特定目的而排列的隊伍。
,,動詞,去掉。
,,動詞,數學方法。將一數以另一數分成若干等分。
,,動詞,去掉。
,,動詞,數學方法。將一數以另一數分成若干等分。
,,量詞,計算部分動物及船隻的單位。
,,,名詞後綴。
,,形容詞,飢餓。
,,名詞,常見家畜的一種。可載人，擅長跑及負物，為自古以來重要的交通工具，草食性，性溫和。十二生肖排序第七的生肖。
,,名詞,常見家畜的一種。可載人，擅長跑及負物，為自古以來重要的交通工具，草食性，性溫和。
,,名詞,姓氏。
,,名詞,動物體內支持身體的支架組織。
,,形容詞,上下的差距大。與「低」(kē)相對。
,,名詞,姓氏。
,,動詞,相爭。
,,動詞,裝上、組合。
,,動詞,幫忙。
,,副詞,非常。
,,動詞,合計。
,,動詞,湊數。
,,動詞,男女未婚同居。
,,名詞,人死後的靈魂。
,,形容詞,形容人狡猾、奸詐。
,,量詞,計算功率的單位。指單位時間內，測定發動機所做的功。
,,形容詞,勤勞。
,,副詞,立刻。
,,名詞,女子高中。源自日語「高女（こうじょ）」。
,,名詞,介於國民中學與大專院校之間的學校。招收對象為國中畢業生。
,,名詞,技藝高超的人。
,,名詞,指喜歡喝酒的人。
,,名詞,鋼鐵或竹木做成一頭尖銳的長型物，用來固定東西。
,,名詞,小馬。
,,名詞,腿子。比喻供人差遣、跑腿的人。
,,名詞,鬼。人死後的靈魂。
,,名詞,釘鉗子。用來拔起釘子或夾斷鐵絲的工具。
,,形容詞,押韻。寫作韻文時，在句末用韻母相同或相近的字。
,,名詞,酒麴。釀酒用的麴。
,,動詞,搭配合作。
,,動詞,在名冊上除去姓名，取消原有的資格。
,,名詞,指父母、兄弟、子女等至親。
,,名詞,病名。一種血壓偏高的病症。血壓會隨著年齡而增加，但若在六十歲前，收縮壓超過一百六十公釐水銀柱，或舒張壓超過九十五公釐水銀柱，即患有高血壓。此症會加速血管硬化，造成心室肥大而衰竭。
,,形容詞,神志不清。通常用來形容人酒醉不清醒的樣子。
,,動詞,用特製的金屬針，或燃燒的「艾絨」(艾葉陰乾搗碎、除去青渣製成)，刺激經脈穴道以治療疾病的療法。用針稱為「針」，燒艾稱為「灸」，針法和灸法合稱為「針灸」。
,,名詞,戲劇中陪襯的角色、次要或指做輔助工作的人。
,,名詞,縫紉機、裁縫車。用來縫紉、修補衣物用的機器。
,,名詞,敬稱，高明的見解。
,,形容詞,指人品行清高。
,,形容詞,指人清雅不俗。
,,形容詞,物品的款式質地均佳。
,,熟語,單挑、一對一。雙方都是一人出戰。
,,名詞,一種長距離賽跑的項目。借自英語marathon。
,,名詞,喝酒用的杯子。
,,形容詞,形容人的能力高超精湛。
,,名詞,酒瓶。
,,名詞,針孔、針眼。針上穿線的孔。
,,動詞,串通、勾結。
,,名詞,瓶塞、軟木塞。
,,動詞,合股。若干人集合資本共同經營事業。
,,名詞,西北雨、雷陣雨。降雨時間短暫，雨勢時大時小，常伴隨著打雷、閃電。臺灣地區夏季午後常有這種雨。
,,名詞,一般民間信仰裡所指的地獄之門。
,,名詞,傳說中人鬼兩隔，陰陽交界的關口。
,,副詞,表示唯一的條件。即只有、惟有的意思。
,,名詞,斑禿、圓禿。病名。指一種部分頭髮突然脫落，經過一段時間能自然痊癒的病症。
,,名詞,抵針、頂針。從前婦女做針線時，套在手指上，用來抵住針的尾端，幫助使力的金屬環。
,,動詞,幫忙。幫助他人做事或解決困難。
,,動詞,避風。
,,形容詞,指某地因地形或地勢的關係，風勢較小，可以避風。
,,名詞,馬臉，指人的臉形較長。
,,名詞,指地獄中的鬼卒。
,,名詞,佐料、配料。烹飪時或搭配菜餚的佐料。
,,動詞,表示樹根深植入土，也用來比喻基礎穩固不易動搖。
,,動詞,一個人動也不動。
,,名詞,身材、骨架、體格。
,,名詞,剛毅不屈的氣概。
,,名詞,骨灰。屍體火化後所留下的灰。
,,名詞,動物骨骼所燒成的灰，可以製燐及肥料。
,,動詞,一陣一陣，斷斷續續的疼痛。多指產婦分娩過程中，因子宮規則收縮所造成的疼痛。
,,名詞,泛指死去的亡魂或神靈。
,,形容詞,較高尚、尊貴，層次等級較高的。
,,名詞,饑荒。指民生困頓，農作欠收的荒年。
,,名詞,下酒菜、酒菜。喝酒時用來配酒的小菜，如豆干、海帶等。
,,副詞,結伴、偕同、一起。
,,動詞,人與人之間交際往來。
,,形容詞,隨隨便便。形容觀念偏差，做事推拖敷衍的態度。
,,熟語,把兩個東西裝配在一起。
,,名詞,裝酒用的瓶子。
,,動詞,幫忙。
,,動詞,幫倒忙、湊熱鬧。表示添麻煩、越幫越忙。
,,名詞,按照需要、規定量供給貨物。
